Name,Coin,Price,Date
Bitcoin USD,BTC,91372.61874239998,2023-01-04
Ethereum USD,ETH,6800.744426879999,2023-01-04
Dogecoin USD,DOGE,0.39125588138399997,2023-01-04
Litecoin USD,LTC,406.5524542752,2023-01-04
USD Coin USD,USDC,5.43121683672,2023-01-04
Bitcoin USD,BTC,91459.72432799998,2023-01-04
Ethereum USD,ETH,6811.50797904,2023-01-04
Dogecoin USD,DOGE,0.39338602518,2023-01-04
Litecoin USD,LTC,407.828210568,2023-01-04
USD Coin USD,USDC,5.430980851079999,2023-01-04
Bitcoin USD,BTC,91459.72432799998,2023-01-04
Ethereum USD,ETH,6811.50797904,2023-01-04
Dogecoin USD,DOGE,0.39338602518,2023-01-04
Litecoin USD,LTC,407.828210568,2023-01-04
USD Coin USD,USDC,5.430980851079999,2023-01-04
